Name,Zone,Price,URL,Bedrooms,Area,Floor,Description,Source,Scraped At
Apartamento perto do Técnico,"Alameda - Praça do Chile - Almirante Reis, Arroios, Lisboa, Lisboa",1200,https://www.imovirtual.com/pt/anuncio/apartamento-perto-do-tecnico-ID1bMEF,T2,65 m²,0,"Apartamento T2 na Praça do Chile, com bastante luz natural,num 3º andar sem elevador,com instalação de gás natural,inserido numa zona de comercio local, com metro e autocarros a 50 metros,perto de esc...",Imovirtual,2025-01-20 13:31:26
Apartamento T1 para arrendamento,"Rua de Xabregas, Xabregas, Beato, Lisboa, Lisboa",1200,https://www.imovirtual.com/pt/anuncio/apartamento-t1-para-arrendamento-ID1g4fz,T1,50 m²,0,"Apartamento T1 | Xabregas | Arrendamento Este moderno apartamento T1 est&aacute; dispon&iacute;vel para arrendamento em Xabregas, uma zona residencial tranquila e central, com excelente acesso a tran...",Imovirtual,2025-01-20 13:31:26
"Lisboa (Benfica) T2 na Rua Gomes Pereira, com parqueamento","Avenida do Uruguai, Benfica, Lisboa, Lisboa",1200,https://www.imovirtual.com/pt/anuncio/lisboa-benfica-t2-na-rua-gomes-pereira-com-parqueamento-ID1g166,T2,80 m²,0,"T2 remodelado, pronto a habitar a partir 1 Janeiro de 2025 situado na Av. Gomes Pereira/Benfica. Composto por: Sala ampla Cozinha equipada com placa, forno, exaustor e um  termoacumulador. 2 quartos,...",Imovirtual,2025-01-20 13:31:26
Ajuda (prox. Faculdade Arquitectura) T2 Rés de chão remodelado,"Rio Seco - Casalinho, Ajuda, Lisboa, Lisboa",1100,https://www.imovirtual.com/pt/anuncio/ajuda-prox-faculdade-arquitectura-t2-res-de-chao-remodelado-ID1g29N,T2,80 m²,0,Apartamento T2 (3 Assoalhadas) remodelado (a estrear) com 2 frentes situado num rés-de-chão alto e é composto por:Hall de entrada e um outro Hall junto aos quartos com roupeiro e despensa Sala 13m2 c...,Imovirtual,2025-01-20 13:31:26
Apartamento T1 para arrendar em Campo de Ourique,"Rua Almeida e Sousa, Centro, Campo de Ourique, Lisboa, Lisboa",1100,https://www.imovirtual.com/pt/anuncio/apartamento-t1-para-arrendar-em-campo-de-ourique-ID1g4bV,T1,44 m²,0,"Vou gostar do sítio? Sem dúvida! Este apartamento situa-se em Campo de Ourique, um bairro icónico de Lisboa que combina charme tradicional com uma excelente oferta de comércio, serviços e transport...",Imovirtual,2025-01-20 13:31:26
T1 para arrendamento no Lumiar,"Carriche - Hospital das Forças Armadas, Lumiar, Lisboa, Lisboa",1000,https://www.imovirtual.com/pt/anuncio/t1-para-arrendamento-no-lumiar-ID1g2FW,T1,56 m²,0,"Apartamento T1 para arrendamento no Lumiar, totalmente remodelado. Licença de Utilização nº 260, emitida pela Câmara Municipal de Lisboa em 19/06/1967 . Este apartamento é composto por uma espaç...",Imovirtual,2025-01-20 13:31:26
T1 Madragoa,"Santos-o-Velho - Madragoa, Estrela, Lisboa, Lisboa",850,https://www.imovirtual.com/pt/anuncio/t1-madragoa-ID1depV,T1,40 m²,0,"T1 mobilado, cozinha totalmente equipada, máquina de lavar e secar roupa,ar condicionado,microondas, máquina de café, etc. Entrada independente, internet (apenas uso lúdico)e tv por cabo incluído no ...",Imovirtual,2025-01-20 13:31:26
"Estúdio c/ Varanda, Zona Nobre: Qª Grande 3 mints carro Colombo","Arneiros, Benfica, Lisboa, Lisboa",895,https://www.imovirtual.com/pt/anuncio/estudio-c-varanda-zona-nobre-q-grande-3-mints-carro-colombo-ID1fY9f,T1,25 m²,0,"Comercializado por: Lisboa Estudios Estudio  T0 ,mobilado em zona nobre da Quinta Grande, inserido em torre de 16 andares a uma  distancia de 3 minutos de  carro  do  Centro Comercial Colombo e  me...",Imovirtual,2025-01-20 13:31:26
Encantador T1 zona Nobre: Qt Grande - 3 mints carro shopping Colombo,"Rua República da Bolívia, Arneiros, Benfica, Lisboa, Lisboa",995,https://www.imovirtual.com/pt/anuncio/encantador-t1-zona-nobre-qt-grande-3-mints-carro-shopping-colombo-ID1bb6a,T1,30 m²,0,"""Encantador T1 Mobilado em Zona Nobre da Quinta Grande - Excelente Localização:  3  minutos de  carro ao Colombo e Metrô"" Este T1 mobilado e equipado está localizado em uma zona nobre da Quinta Gra...",Imovirtual,2025-01-20 13:31:26
"Lindo Studio T1 junto padaria portuguesa, C comercial e metro Olivai","Olivais Sul, Olivais, Lisboa, Lisboa",895,https://www.imovirtual.com/pt/anuncio/lindo-studio-t1-junto-padaria-portuguesa-c-comercial-e-metro-olivai-ID1fY9P,T1,20 m²,0,"Mimoso Studio T1 junto padaria portuguesa, C comercial e metro Olivais Entre  aeroporto e Parque das Nações/Estação Oriente / C C Vasco  da Gama, situa-se o famoso bairro dos Olivais, pleno de func...",Imovirtual,2025-01-20 13:31:26
Apartamento T2 para arrendamento,"Rua Aquilino Ribeiro - Bairro das Amendoeiras, Bairro das Amendoeiras, Marvila, Lisboa, Lisboa",1150,https://www.imovirtual.com/pt/anuncio/apartamento-t2-para-arrendamento-ID1g3TL,T2,84.52 m²,0,Apartamento T2 para arrendamento. . Licença de Utilização - isento,Imovirtual,2025-01-20 13:31:26
T2 para arrendar em Moscavide,"Rua Combatentes da Grande Guerra, Moscavide, Moscavide e Portela, Loures, Lisboa",900,https://www.imovirtual.com/pt/anuncio/t2-para-arrendar-em-moscavide-ID1g3OV,T2,65 m²,0,"Uma apartamento em Moscavide? Conte-me mais! Com toda a certeza! Moscavide é um bairro vibrante e cheio de vida, conhecido pela sua atmosfera acolhedora e pela proximidade com o Parque das Nações. ...",Imovirtual,2025-01-20 13:31:26
Oportunidade - T2 para arrendar na Penha de França,"Rua Dom Domingos Jardo, Alto de São João - Alto do Varejão, Penha de França, Lisboa, Lisboa",1050,https://www.imovirtual.com/pt/anuncio/oportunidade-t2-para-arrendar-na-penha-de-franca-ID1g3OY,T2,69 m²,0,"Vou gostar de viver na Penha de França? Com certeza! A Penha de França é um bairro tradicional e charmoso de Lisboa, oferecendo uma atmosfera tranquila e ao mesmo tempo bem servida por transportes,...",Imovirtual,2025-01-20 13:31:26
Arrendamento - Apartamento T2 em Benfica,"Rua Doutor Figueiredo, Portas de Benfica - Mercado de Benfica, Benfica, Lisboa, Lisboa",1050,https://www.imovirtual.com/pt/anuncio/arrendamento-apartamento-t2-em-benfica-ID1g3MI,T2,70 m²,0,"Vou gostar de viver em Benfica? Sem dúvida! Benfica é um bairro dinâmico e familiar, perfeito para quem procura tranquilidade sem abrir mão da conveniência de viver em Lisboa. Aqui, terá fácil aces...",Imovirtual,2025-01-20 13:31:27
Apartamento T1 para arrendar em Campo de Ourique,"Rua Almeida e Sousa, Centro, Campo de Ourique, Lisboa, Lisboa",1150,https://www.imovirtual.com/pt/anuncio/apartamento-t1-para-arrendar-em-campo-de-ourique-ID1g3Jx,T1,46 m²,0,"Vou gostar do sítio? Certamente que sim! Este apartamento situa-se em Campo de Ourique, um dos bairros mais procurados de Lisboa, conhecido pelo seu ambiente acolhedor e pela vasta oferta de comérc...",Imovirtual,2025-01-20 13:31:27
Apartamento T1 a estrear | Penha de França,"Rua Castelo Branco Saraiva, Centro, Penha de França, Lisboa, Lisboa",1200,https://www.imovirtual.com/pt/anuncio/apartamento-t1-a-estrear-penha-de-franca-ID1g3G0,T1,48 m²,0,"Apartamento T1 a estrear | Penha de França Este elegante T1, integrado no moderno empreendimento Magenta Apartments, está localizado na prestigiada zona da Penha de França. Características princip...",Imovirtual,2025-01-20 13:31:27
